date_rdv,canal,profil,motif,sous_motif,date_creation,id_conseiller,bureau,mois,annee_mois,nb_rdv
2024-04-19,web,Senior,Support,Demande,2024-04-01,8,Bordeaux,April,2024-04,2
2025-12-02,web,Client,Comptabilité,Demande,2025-11-24,1,Marseille,December,2025-12,1
2024-02-20,web,Junior,Vente,Question,2024-02-18,16,Paris,February,2024-02,1
2024-03-22,telephone,Senior,Vente,Réclamation,2024-03-13,15,Paris,March,2024-03,1
2024-06-27,web,Junior,Support,Réclamation,2024-06-06,17,Marseille,June,2024-06,2
2025-09-26,web,Senior,Vente,Question,2025-09-06,13,Bordeaux,September,2025-09,2
2025-02-11,telephone,Manager,Support,Question,2025-01-18,7,Lyon,February,2025-02,3
2024-07-15,telephone,Junior,Vente,Question,2024-07-06,6,Bordeaux,July,2024-07,1
2025-09-27,web,Junior,Vente,Demande,2025-09-24,17,Lyon,September,2025-09,1
2025-08-13,web,Junior,Vente,Demande,2025-08-08,8,Lyon,August,2025-08,3
2025-04-15,telephone,Junior,Support,Question,2025-04-03,8,Lyon,April,2025-04,1
2024-12-29,telephone,Client,Comptabilité,Question,2024-12-29,3,Lyon,December,2024-12,3
2024-03-27,web,Junior,Support,Demande,2024-03-10,16,Lyon,March,2024-03,3
2024-09-24,web,Junior,Support,Réclamation,2024-09-18,8,Paris,September,2024-09,2
2025-03-16,web,Client,Vente,Question,2025-02-17,2,Marseille,March,2025-03,1
2025-12-04,telephone,Senior,Vente,Réclamation,2025-11-13,18,Lyon,December,2025-12,1
2025-03-16,telephone,Manager,Support,Réclamation,2025-03-04,16,Lyon,March,2025-03,1
2025-03-15,web,Manager,Comptabilité,Question,2025-03-05,15,Paris,March,2025-03,2
2024-02-16,web,Junior,Vente,Demande,2024-02-05,5,Bordeaux,February,2024-02,1
2025-03-20,web,Junior,Support,Demande,2025-03-18,13,Bordeaux,March,2025-03,3
2024-07-29,web,Manager,Support,Demande,2024-07-12,14,Paris,July,2024-07,2
2025-02-12,telephone,Client,Comptabilité,Réclamation,2025-02-01,18,Marseille,February,2025-02,3
2025-07-04,telephone,Junior,Comptabilité,Question,2025-06-30,4,Lyon,July,2025-07,2
2025-04-27,telephone,Senior,Vente,Demande,2025-04-07,10,Bordeaux,April,2025-04,2
2024-06-29,web,Junior,Vente,Demande,2024-06-21,4,Lyon,June,2024-06,1
2024-12-04,web,Junior,Vente,Question,2024-11-28,18,Paris,December,2024-12,1
2025-04-14,telephone,Junior,Support,Question,2025-04-08,7,Marseille,April,2025-04,2
2025-09-18,web,Junior,Vente,Réclamation,2025-08-30,13,Bordeaux,September,2025-09,3
2024-12-15,web,Manager,Comptabilité,Demande,2024-11-21,5,Marseille,December,2024-12,3
2025-09-06,telephone,Junior,Support,Question,2025-08-16,11,Paris,September,2025-09,3
2024-05-10,telephone,Client,Support,Question,2024-04-12,6,Lyon,May,2024-05,2
2025-10-31,web,Manager,Support,Question,2025-10-19,9,Bordeaux,October,2025-10,2
2025-01-12,web,Junior,Vente,Question,2024-12-24,1,Lyon,January,2025-01,1
2024-06-21,telephone,Junior,Support,Demande,2024-05-30,9,Paris,June,2024-06,1
2025-11-18,telephone,Junior,Comptabilité,Réclamation,2025-10-19,1,Marseille,November,2025-11,3
